Id,Label,Synset,Weight
città,città,location,26
segno,segno,shape,12
strada,strada,location,1
teatro,teatro,scene,1
bazar,bazar,building,1
impero,impero,time,1
edificio,edificio,building,2
differente,differente,misc_adjective,1
disporre,disporre,misc_adjective,1
diverso,diverso,misc_adjective,1
sconosciuto,sconosciuto,misc_adjective,1
sguardo,sguardo,shape,2
mezzo,mezzo,location,3
fienile,fienile,building,1
orto,orto,location,1
immondezzaio,immondezzaio,location,1
palazzo,palazzo,building,3
grande,grande,misc_adjective,2
locanda,locanda,building,1
prigione,prigione,building,2
figura,figura,shape,4
forma,forma,shape,3
particolare,particolare,misc_adjective,1
luogo,luogo,scene,3
oro,oro,color,1
piramide,piramide,shape,1
lazzaretto,lazzaretto,building,1
punto,punto,shape,2
momento,momento,time,1
tutto,tutto,misc_adjective,1
stesso,stesso,misc_adjective,4
indivisibile,indivisibile,misc_adjective,1
linea,linea,shape,1
dentro,dentro,location,1
fuori,fuori,location,3
rombo,rombo,shape,1
terra,terra,location,2
lontano,lontano,misc_adjective,1
mattino,mattino,time,1
giardino,giardino,location,2
azzurro,azzurro,misc_adjective,1
siepe,siepe,building,1
sicuro,sicuro,misc_adjective,1
bello,bello,shape,2
giovane,giovane,misc_adjective,2
dama,dama,shape,2
bagno,bagno,building,1
fondo,fondo,location,1
verde,verde,color,2
cupola,cupola,location,1
alto,alto,location,2
cortile,cortile,location,1
sala,sala,building,1
nero,nero,color,2
piede,piede,shape,1
sottoterra,sottoterra,building,1
biblioteca,biblioteca,building,1
alfabetico,alfabetico,misc_adjective,1
scomparso,scomparso,misc_adjective,1
ponte,ponte,building,2
remoto,remoto,misc_adjective,1
gabinetto,gabinetto,location,1
sapiente,sapiente,misc_adjective,1
finestra,finestra,building,2
infantile,infantile,misc_adjective,1
prato,prato,location,2
immagine,immagine,shape,2
ora,ora,time,2
amoroso,amoroso,misc_adjective,1
scuderia,scuderia,building,1
maneggio,maneggio,location,1
vedere,vedere,scene,4
donna,donna,shape,5
nudo,nudo,misc_adjective,1
capezzolo,capezzolo,misc_adjective,1
altro,altro,misc_adjective,5
cimitero,cimitero,location,1
tomba,tomba,location,1
fossa,fossa,shape,1
giorno,giorno,time,1
solo,solo,misc_adjective,4
porto,porto,location,1
pinnacolo,pinnacolo,building,1
rocca,rocca,building,1
inganno,inganno,shape,1
rapporto,rapporto,shape,1
ricco,ricco,misc_adjective,1
biforo,biforo,misc_adjective,1
grata,grata,building,1
patio,patio,building,1
bianco,bianco,color,1
parete,parete,building,1
casa,casa,location,2
muro,muro,building,2
bottega,bottega,location,2
odoroso,odoroso,misc_adjective,1
pensili,pensili,misc_adjective,1
illuminato,illuminato,misc_adjective,1
dente,dente,building,1
mano,mano,shape,2
tempo,tempo,time,1
turno,turno,time,1
vita,vita,time,1
libero,libero,misc_adjective,1
sopraffino,sopraffino,misc_adjective,1
notte,notte,time,1
sobborgo,sobborgo,location,1
sera,sera,time,1
buio,buio,time,1
buco,buco,shape,1
ripetuto,ripetuto,misc_adjective,1
giornata,giornata,time,1
impronta,impronta,shape,1
passaggio,passaggio,location,1
vena,vena,location,1
fine,fine,location,1
inverno,inverno,time,1
intercambiabile,intercambiabile,misc_adjective,1
fitto,fitto,misc_adjective,2
guardia,guardia,time,1
stella,stella,misc_adjective,1
torre,torre,building,1
edicola,edicola,building,1
porta,porta,location,1
statua,statua,shape,1
giusto,giusto,misc_adjective,1
posto,posto,location,1
scuola,scuola,time,1
pitagorico,pitagorico,misc_adjective,1
bordello,bordello,building,1
mostra,mostra,building,1
banco,banco,location,1
ricamare,ricamare,misc_adjective,1
fronte,fronte,location,1
dorato,dorato,misc_adjective,1
voluttà,voluttà,misc_adjective,1
pagina,pagina,location,1
scritto,scritto,misc_adjective,1
nascondo,nascondo,misc_adjective,1
vuoto,vuoto,shape,1
orizzonte,orizzonte,location,1
intento,intento,misc_adjective,1
distinti,distinti,misc_adjective,1
cieco,cieco,misc_adjective,1
grattacielo,grattacielo,building,2
negre,negre,misc_adjective,1
puma,puma,misc_adjective,1
ridondante,ridondante,misc_adjective,2
sotterraneo,sotterraneo,building,1
obese,obese,misc_adjective,1
dirigibile,dirigibile,misc_adjective,1
guglia,guglia,building,1
traforato,traforato,misc_adjective,1
cannone,cannone,shape,1
