Id,Label,Synset,Weight
città,città,location,30
centro,centro,location,1
metropoli,metropoli,location,1
grigio,grigio,color,1
palazzo,palazzo,building,3
sfera,sfera,shape,5
stanza,stanza,building,1
dentro,dentro,location,1
vedere,vedere,scene,6
azzurro,azzurro,misc_adjective,1
modello,modello,shape,2
altro,altro,misc_adjective,2
forma,forma,shape,5
epoca,epoca,time,1
modo,modo,shape,3
ideale,ideale,misc_adjective,1
prima,prima,building,2
possibile,possibile,misc_adjective,2
peschiera,peschiera,location,1
alto,alto,location,1
riservare,riservare,misc_adjective,1
ora,ora,time,6
spirale,spirale,shape,1
minareto,minareto,building,1
base,base,location,2
impero,impero,time,1
grande,grande,misc_adjective,2
posto,posto,location,2
piccolo,piccolo,misc_adjective,1
reale,reale,misc_adjective,1
presunto,presunto,misc_adjective,1
necessario,necessario,misc_adjective,1
minuto,minuto,time,1
giorno,giorno,time,3
notte,notte,time,3
bianco,bianco,color,2
nazione,nazione,location,1
diverso,diverso,misc_adjective,1
uguale,uguale,misc_adjective,1
donna,donna,shape,6
sconosciuto,sconosciuto,misc_adjective,1
lungo,lungo,misc_adjective,2
nudo,nudo,misc_adjective,1
strada,strada,location,1
percorso,percorso,location,1
punto,punto,shape,2
spazio,spazio,shape,1
muro,muro,building,3
scena,scena,scene,1
lavoro,lavoro,location,1
rapporto,rapporto,shape,1
sognato,sognato,misc_adjective,1
tempo,tempo,time,1
nuovo,nuovo,misc_adjective,1
paese,paese,location,1
porticato,porticato,building,1
cammino,cammino,location,1
inseguita,inseguita,misc_adjective,1
primo,primo,misc_adjective,2
brutto,brutto,shape,1
maniera,maniera,shape,1
porta,porta,location,1
ponte,ponte,building,1
verde,verde,color,1
casa,casa,location,1
privativa,privativa,building,1
astrolabo,astrolabo,misc_adjective,1
ametista,ametista,misc_adjective,1
passato,passato,time,1
presente,presente,misc_adjective,1
mattina,mattina,time,3
mercato,mercato,building,1
bello,bello,shape,1
dente,dente,building,1
palco,palco,scene,1
colorato,colorato,misc_adjective,1
deserto,deserto,location,6
pista,pista,building,2
vita,vita,time,1
aspettarmio,aspettarmio,misc_adjective,1
anno,anno,time,1
distesa,distesa,shape,1
tanto,tanto,misc_adjective,1
capo,capo,location,1
giornata,giornata,time,1
concentrico,concentrico,misc_adjective,1
crisopazio,crisopazio,misc_adjective,1
carne,carne,shape,1
dorato,dorato,misc_adjective,1
stagionato,stagionato,misc_adjective,1
bagno,bagno,building,1
giardino,giardino,location,1
vero,vero,misc_adjective,1
mattino,mattino,time,1
mezzo,mezzo,location,1
contento,contento,misc_adjective,1
maligno,maligno,misc_adjective,1
benigno,benigno,misc_adjective,1
ingannatore,ingannatore,misc_adjective,1
onico,onico,misc_adjective,1
schiavo,schiavo,misc_adjective,1
differente,differente,misc_adjective,1
terra,terra,location,1
mare,mare,shape,2
orizzonte,orizzonte,location,1
pinnacolo,pinnacolo,building,1
grattacielo,grattacielo,building,1
rosso,rosso,color,1
gonfiare,gonfiare,misc_adjective,1
slegato,slegato,misc_adjective,1
porto,porto,location,1
osteria,osteria,building,1
testa,testa,location,2
finestra,finestra,building,1
pianterreno,pianterreno,building,1
costa,costa,scene,1
gobba,gobba,shape,1
ricamato,ricamato,misc_adjective,1
luccicante,luccicante,misc_adjective,1
chiazzato,chiazzato,misc_adjective,1
oasi,oasi,location,1
dolce,dolce,misc_adjective,1
ombra,ombra,scene,1
seghettare,seghettare,misc_adjective,1
spesso,spesso,misc_adjective,1
cortile,cortile,location,1
braccio,braccio,building,1
fuori,fuori,location,1
confine,confine,location,1
