Id,Label,Synset,Weight
città,città,location,21
piazza,piazza,location,3
mezzo,mezzo,location,2
millantatore,millantatore,misc_adjective,1
porta,porta,location,2
giovane,giovane,misc_adjective,1
avaro,avaro,misc_adjective,2
ultimo,ultimo,misc_adjective,3
amoroso,amoroso,misc_adjective,2
sciocco,sciocco,misc_adjective,2
anno,anno,time,3
stesso,stesso,misc_adjective,6
posto,posto,location,3
primo,primo,misc_adjective,2
ingresso,ingresso,building,1
nuovo,nuovo,misc_adjective,2
irato,irato,misc_adjective,1
spiritoso,spiritoso,misc_adjective,1
voce,voce,shape,1
scena,scena,scene,2
precedente,precedente,misc_adjective,1
solo,solo,misc_adjective,1
dialogante,dialogante,misc_adjective,1
tempo,tempo,time,3
moltiplicato,moltiplicato,misc_adjective,1
basso,basso,location,1
prima,prima,building,3
finale,finale,misc_adjective,1
matassa,matassa,building,1
ostacolo,ostacolo,building,1
momento,momento,time,3
successivo,successivo,misc_adjective,1
vita,vita,time,5
breve,breve,misc_adjective,1
banchina,banchina,building,1
cima,cima,location,2
ora,ora,time,3
mercato,mercato,building,1
vecchio,vecchio,misc_adjective,2
vista,vista,scene,1
rannicchiato,rannicchiato,misc_adjective,1
terra,terra,location,2
testa,testa,location,1
giorno,giorno,time,1
giallo,giallo,color,2
ispido,ispido,misc_adjective,1
sguardo,sguardo,shape,3
vedere,vedere,scene,4
vero,vero,misc_adjective,1
faccia,faccia,shape,4
estraneo,estraneo,misc_adjective,1
apportatrice,apportatrice,misc_adjective,1
balcone,balcone,building,1
uguale,uguale,misc_adjective,1
paese,paese,location,1
altro,altro,misc_adjective,3
fisionomia,fisionomia,shape,1
espressione,espressione,shape,1
calco,calco,shape,1
maschera,maschera,shape,1
straducole,straducole,misc_adjective,1
inaspettato,inaspettato,misc_adjective,1
ruga,ruga,shape,1
persona,persona,shape,2
segno,segno,shape,2
aldilà,aldilà,time,1
felice,felice,misc_adjective,1
propenso,propenso,misc_adjective,1
brusco,brusco,misc_adjective,1
identico,identico,misc_adjective,1
sottoterra,sottoterra,building,1
modo,modo,shape,2
scheletro,scheletro,building,1
occupazione,occupazione,location,1
spensierato,spensierato,misc_adjective,1
tavola,tavola,shape,1
imbandito,imbandito,misc_adjective,1
posizione,posizione,scene,1
mestiere,mestiere,location,1
sottoterro,sottoterro,misc_adjective,1
fermo,fermo,misc_adjective,2
bottega,bottega,location,1
scordato,scordato,misc_adjective,1
secco,secco,misc_adjective,1
vuoto,vuoto,shape,3
ridente,ridente,misc_adjective,1
carcassa,carcassa,building,1
diverso,diverso,misc_adjective,3
necropoli,necropoli,location,1
mantenuto,mantenuto,misc_adjective,1
vivente,vivente,misc_adjective,3
mano,mano,shape,1
ufficio,ufficio,building,1
esteso,esteso,misc_adjective,1
ponderato,ponderato,misc_adjective,1
sotterraneo,sotterraneo,building,1
gemello,gemello,misc_adjective,1
aria,aria,shape,1
interrare,interrare,misc_adjective,1
stanza,stanza,building,1
negativo,negativo,misc_adjective,1
casa,casa,location,2
strato,strato,location,1
terreno,terreno,location,1
roccioso,roccioso,misc_adjective,1
fessura,fessura,shape,1
radice,radice,shape,1
sfasciare,sfasciare,misc_adjective,1
distese,distese,misc_adjective,1
buio,buio,time,1
luogo,luogo,scene,2
deserto,deserto,location,1
notte,notte,time,1
fianco,fianco,shape,1
cimitero,cimitero,location,1
speciale,speciale,misc_adjective,1
terzo,terzo,misc_adjective,1
nato,nato,misc_adjective,4
doppio,doppio,misc_adjective,1
distesa,distesa,shape,1
tomba,tomba,location,1
fuori,fuori,location,1
muro,muro,building,1
largo,largo,misc_adjective,1
edificio,edificio,building,1
finestra,finestra,building,1
dimora,dimora,location,1
vivo,vivo,misc_adjective,3
pigiare,pigiare,misc_adjective,1
fitto,fitto,misc_adjective,1
sovrapposto,sovrapposto,misc_adjective,1
pomeriggio,pomeriggio,time,1
bello,bello,shape,1
lastra,lastra,shape,1
necessario,necessario,misc_adjective,1
incasellare,incasellare,misc_adjective,1
sicuro,sicuro,misc_adjective,1
parziale,parziale,misc_adjective,1
contraddittorio,contraddittorio,misc_adjective,1
residenza,residenza,location,1
vasto,vasto,misc_adjective,1
spazio,spazio,shape,1
architettura,architettura,building,1
nicchia,nicchia,shape,1
rientranza,rientranza,shape,1
scanalatura,scanalatura,shape,1
grande,grande,misc_adjective,2
formica,formica,building,2
ritto,ritto,misc_adjective,1
aggetto,aggetto,building,1
parete,parete,building,1
capitello,capitello,location,1
plinto,plinto,building,1
intento,intento,misc_adjective,1
futuro,futuro,misc_adjective,1
marmo,marmo,shape,1
intero,intero,misc_adjective,1
barracano,barracano,misc_adjective,1
melanzano,melanzano,misc_adjective,1
alleato,alleato,misc_adjective,1
nemico,nemico,misc_adjective,1
interrogandolo,interrogandolo,misc_adjective,1
passo,passo,location,1
strada,strada,location,1
superi,superi,misc_adjective,1
lungo,lungo,misc_adjective,1
folla,folla,misc_adjective,1
invisibile,invisibile,misc_adjective,1
stadio,stadio,time,1
generazione,generazione,time,2
passaggio,passaggio,location,1
strozzatura,strozzatura,shape,1
