Id,Label,Synset,Weight
città,città,location,35
continuo,continuo,misc_adjective,5
stesso,stesso,misc_adjective,13
giorno,giorno,time,7
mattina,mattina,time,2
fresco,fresco,misc_adjective,1
nuovo,nuovo,misc_adjective,7
fiammante,fiammante,misc_adjective,1
perfezionato,perfezionato,misc_adjective,1
intonso,intonso,misc_adjective,1
ultimo,ultimo,misc_adjective,2
modello,modello,shape,1
schiacciato,schiacciato,misc_adjective,1
fulminato,fulminato,misc_adjective,1
servizio,servizio,location,1
posto,posto,location,1
vero,vero,misc_adjective,1
diverso,diverso,misc_adjective,3
ricorrente,ricorrente,misc_adjective,1
silenzioso,silenzioso,misc_adjective,1
fuori,fuori,location,6
anno,anno,time,10
perimetro,perimetro,shape,1
vasto,vasto,misc_adjective,1
arte,arte,location,1
tempo,tempo,time,1
fortezza,fortezza,building,1
indistruttibile,indistruttibile,misc_adjective,1
lato,lato,location,1
passato,passato,time,2
solo,solo,misc_adjective,1
forma,forma,shape,2
definitivo,definitivo,misc_adjective,1
lustro,lustro,time,1
sterminato,sterminato,misc_adjective,1
immondezzaio,immondezzaio,location,2
estremo,estremo,location,1
crinale,crinale,location,1
intero,intero,misc_adjective,1
confine,confine,location,2
centro,centro,location,3
metropoli,metropoli,location,2
ininterrotto,ininterrotto,misc_adjective,1
estraneo,estraneo,misc_adjective,1
nemico,nemico,misc_adjective,1
bastione,bastione,building,1
infetto,infetto,misc_adjective,1
vecchio,vecchio,misc_adjective,1
spagliato,spagliato,misc_adjective,1
spaiato,spaiato,misc_adjective,1
secco,secco,misc_adjective,1
limitrofo,limitrofo,misc_adjective,1
mondo,mondo,misc_adjective,1
sordido,sordido,misc_adjective,1
montuoso,montuoso,misc_adjective,1
vicino,vicino,misc_adjective,1
pronto,pronto,misc_adjective,1
rullo,rullo,shape,1
territorio,territorio,location,1
terra,terra,location,1
grande,grande,misc_adjective,1
sobborgo,sobborgo,location,3
casa,casa,location,2
giallino,giallino,misc_adjective,1
aiola,aiola,location,1
piazza,piazza,location,1
mostra,mostra,building,1
imballaggio,imballaggio,misc_adjective,1
primo,primo,misc_adjective,3
albergo,albergo,building,1
altro,altro,misc_adjective,4
giornata,giornata,time,1
uguale,uguale,misc_adjective,3
punto,punto,shape,2
unico,unico,misc_adjective,1
alloggio,alloggio,building,1
stanza,stanza,building,3
locanda,locanda,building,1
paesaggio,paesaggio,location,1
vedere,vedere,scene,6
finestra,finestra,building,4
ponte,ponte,building,3
campo,campo,location,2
pannocchia,pannocchia,location,3
pollaio,pollaio,building,2
giallo,giallo,color,1
bianco,bianco,color,2
pezzo,pezzo,location,1
azzurro,azzurro,misc_adjective,1
sicuro,sicuro,misc_adjective,1
faccia,faccia,shape,4
tondo,tondo,misc_adjective,3
piatto,piatto,misc_adjective,2
mano,mano,shape,2
gentile,gentile,misc_adjective,2
sporco,sporco,misc_adjective,1
pieno,pieno,misc_adjective,1
siepe,siepe,building,1
tranquillo,tranquillo,misc_adjective,1
spazio,spazio,shape,2
ristretto,ristretto,misc_adjective,1
braccio,braccio,building,2
fermo,fermo,misc_adjective,1
fitto,fitto,misc_adjective,1
sguardo,sguardo,shape,1
distesa,distesa,shape,1
angolo,angolo,shape,2
mezzo,mezzo,location,3
davanti,davanti,location,1
facile,facile,misc_adjective,1
piede,piede,shape,1
largo,largo,misc_adjective,1
turno,turno,time,1
letto,letto,location,1
persona,persona,shape,1
bello,bello,shape,1
mare,mare,shape,1
illustre,illustre,misc_adjective,2
rasente,rasente,misc_adjective,1
muro,muro,building,2
capra,capra,building,5
pascolo,pascolo,location,2
prato,prato,location,3
verde,verde,color,1
ombra,ombra,scene,1
luogo,luogo,scene,4
crocevia,crocevia,location,1
compatto,compatto,misc_adjective,2
tutto,tutto,misc_adjective,1
lungo,lungo,misc_adjective,1
spelato,spelato,misc_adjective,1
gridai,gridai,misc_adjective,1
lontanissimo,lontanissimo,misc_adjective,1
spartitraffico,spartitraffico,location,1
ingresso,ingresso,building,1
immagine,immagine,shape,1
polveroso,polveroso,misc_adjective,1
cinta,cinta,building,1
passo,passo,location,2
porta,porta,location,1
dentro,dentro,location,1
ora,ora,time,4
chiaro,chiaro,misc_adjective,1
basso,basso,location,3
casamento,casamento,building,1
pallido,pallido,misc_adjective,1
ispido,ispido,misc_adjective,1
steccato,steccato,building,1
tavola,tavola,shape,1
margine,margine,shape,1
strada,strada,location,2
costruzione,costruzione,building,1
magro,magro,misc_adjective,1
facciata,facciata,shape,1
alto,alto,location,2
sdentato,sdentato,misc_adjective,1
terreno,terreno,location,1
vago,vago,misc_adjective,1
arruginito,arruginito,misc_adjective,1
officina,officina,location,1
deposito,deposito,building,1
cimitero,cimitero,location,1
mattatoio,mattatoio,building,1
bottega,bottega,location,1
macilente,macilente,misc_adjective,1
chiazza,chiazza,shape,1
campagna,campagna,location,1
spelacchiato,spelacchiato,misc_adjective,1
voglia,voglia,shape,1
opposto,opposto,misc_adjective,1
poliedro,poliedro,shape,1
opaco,opaco,misc_adjective,1
orizzonte,orizzonte,location,1
cuspide,cuspide,shape,1
periferia,periferia,shape,2
pigmento,pigmento,color,1
lattiginoso,lattiginoso,misc_adjective,1
notte,notte,time,1
rade,rade,misc_adjective,1
denso,denso,misc_adjective,1
ruga,ruga,shape,1
circondario,circondario,location,1
riconoscibile,riconoscibile,misc_adjective,1
ricordabile,ricordabile,misc_adjective,1
testa,testa,location,1
angoscioso,angoscioso,misc_adjective,1
