Id,Label,Synset,Weight
città,città,location,22
nazione,nazione,location,1
equinozio,equinozio,location,2
stiva,stiva,building,1
colmo,colmo,location,1
seme,seme,color,1
moscato,moscato,misc_adjective,1
dorato,dorato,misc_adjective,1
deserto,deserto,location,1
stesso,stesso,misc_adjective,9
bazar,bazar,building,2
dentro,dentro,location,1
fuori,fuori,location,1
impero,impero,time,2
piede,piede,shape,1
giallo,giallo,color,1
ombra,ombra,scene,1
tenda,tenda,building,1
scacciamosco,scacciamosco,misc_adjective,1
menzognere,menzognere,misc_adjective,1
notte,notte,time,1
fuoco,fuoco,location,1
mercato,mercato,building,1
sdraiato,sdraiato,misc_adjective,1
nascosto,nascosto,misc_adjective,2
lungo,lungo,misc_adjective,1
sveglio,sveglio,misc_adjective,1
altro,altro,misc_adjective,11
diverso,diverso,misc_adjective,2
grande,grande,misc_adjective,2
persona,persona,shape,2
sguardo,sguardo,shape,3
secondo,secondo,time,2
donna,donna,shape,3
nerovestita,nerovestita,misc_adjective,1
anno,anno,time,1
inquiete,inquiete,misc_adjective,1
tremante,tremante,misc_adjective,1
tatuato,tatuato,misc_adjective,1
giovane,giovane,misc_adjective,1
bianco,bianco,color,3
linea,linea,shape,2
figura,figura,shape,2
triangolo,triangolo,shape,1
attimo,attimo,time,1
personaggio,personaggio,shape,1
scena,scena,scene,2
cieco,cieco,misc_adjective,1
cortigiana,cortigiana,misc_adjective,1
cannone,cannone,shape,1
portico,portico,building,1
piazza,piazza,location,1
seduzione,seduzione,shape,1
lussurioso,lussurioso,misc_adjective,1
effimero,effimero,misc_adjective,1
territorio,territorio,location,2
capitale,capitale,location,1
vedere,vedere,scene,2
eguale,eguale,misc_adjective,1
dissimile,dissimile,misc_adjective,1
vasto,vasto,misc_adjective,1
ondulato,ondulato,misc_adjective,1
solo,solo,misc_adjective,2
vuoto,vuoto,shape,3
turno,turno,time,1
ora,ora,time,1
giorno,giorno,time,3
mestiere,mestiere,location,3
casa,casa,location,4
vicino,vicino,misc_adjective,1
nuovo,nuovo,misc_adjective,2
paesaggio,paesaggio,location,1
finestra,finestra,building,1
sera,sera,time,1
vita,vita,time,6
esposizione,esposizione,scene,1
corso,corso,location,1
passaggio,passaggio,location,2
molteplice,molteplice,misc_adjective,1
spazio,spazio,shape,1
uguale,uguale,misc_adjective,2
cambiato,cambiato,misc_adjective,1
identico,identico,misc_adjective,1
volubile,volubile,misc_adjective,1
sacro,sacro,misc_adjective,1
ambiguo,ambiguo,misc_adjective,1
rapporto,rapporto,shape,2
nero,nero,color,2
grigio,grigio,color,1
mezzo,mezzo,location,1
costa,costa,scene,1
simile,simile,misc_adjective,1
complicato,complicato,misc_adjective,1
regolare,regolare,misc_adjective,1
lontano,lontano,misc_adjective,1
rovina,rovina,building,1
abbandonato,abbandonato,misc_adjective,1
muro,muro,building,1
intricato,intricato,misc_adjective,1
forma,forma,shape,1
acquatico,acquatico,misc_adjective,1
strada,strada,location,2
posto,posto,location,1
percorso,percorso,location,1
terrestre,terrestre,misc_adjective,1
breve,breve,misc_adjective,1
punto,punto,shape,3
retta,retta,shape,1
tortuoso,tortuoso,misc_adjective,1
asciutto,asciutto,misc_adjective,1
disporre,disporre,misc_adjective,1
strato,strato,location,1
ballatoio,ballatoio,building,1
ponte,ponte,building,1
sopraelevato,sopraelevato,misc_adjective,1
superficie,superficie,location,1
itinerario,itinerario,location,1
luogo,luogo,scene,1
abitudinario,abitudinario,misc_adjective,1
tranquillo,tranquillo,misc_adjective,1
maggiore,maggiore,misc_adjective,1
segreto,segreto,misc_adjective,1
avventuroso,avventuroso,misc_adjective,1
clandestino,clandestino,misc_adjective,1
alto,alto,location,1
grondaia,grondaia,building,1
passo,passo,location,1
basso,basso,location,1
buio,buio,time,1
cloaco,cloaco,misc_adjective,1
coda,coda,shape,1
chiavico,chiavico,misc_adjective,1
nascondiglio,nascondiglio,location,1
crosta,crosta,location,1
proibito,proibito,misc_adjective,1
sotterraneo,sotterraneo,building,1
colore,colore,shape,1
solido,solido,shape,1
liquido,liquido,misc_adjective,1
palese,palese,misc_adjective,1
difficile,difficile,misc_adjective,1
aria,aria,shape,2
parabola,parabola,shape,1
invisibile,invisibile,misc_adjective,1
fermo,fermo,misc_adjective,1
spirale,spirale,shape,1
rasente,rasente,misc_adjective,1
pinnacolo,pinnacolo,building,1
