Id,Label,Synset,Weight
città,città,location,313
giornata,giornata,time,7
cupola,cupola,location,6
statua,statua,shape,6
bronzo,bronzo,shape,1
lastricato,lastricato,misc_adjective,1
teatro,teatro,scene,3
oro,oro,color,4
mattina,mattina,time,7
torre,torre,building,3
bellezza,bellezza,shape,2
vedere,vedere,scene,44
altro,altro,misc_adjective,49
sera,sera,time,6
settembre,settembre,time,1
multicolore,multicolore,misc_adjective,1
porta,porta,location,12
friggitorio,friggitorio,misc_adjective,1
terrazza,terrazza,building,1
voce,voce,shape,4
donna,donna,shape,18
ora,ora,time,30
uguale,uguale,misc_adjective,12
felice,felice,misc_adjective,11
sottile,sottile,misc_adjective,7
profondo,profondo,location,3
sotterraneo,sotterraneo,building,7
terra,terra,location,13
lungo,lungo,misc_adjective,16
buco,buco,shape,4
verticale,verticale,misc_adjective,3
perimetro,perimetro,shape,3
verdeggiante,verdeggiante,misc_adjective,1
buio,buio,time,5
sepolto,sepolto,misc_adjective,3
paesaggio,paesaggio,location,3
invisibile,invisibile,misc_adjective,5
visibile,visibile,misc_adjective,1
sole,sole,location,5
calcareo,calcareo,misc_adjective,1
secondo,secondo,time,9
profondità,profondità,location,1
nero,nero,color,9
vena,vena,location,4
sotterrraneo,sotterrraneo,misc_adjective,1
fuori,fuori,location,18
castello,castello,building,1
traliccio,traliccio,building,2
cima,cima,location,4
arco,arco,time,2
acquedotto,acquedotto,location,1
colonna,colonna,building,4
aereo,aereo,misc_adjective,1
tutto,tutto,misc_adjective,3
alto,alto,location,16
stesso,stesso,misc_adjective,45
tempo,tempo,time,16
vecchio,vecchio,misc_adjective,12
illustrare,illustrare,misc_adjective,1
prima,prima,building,25
identico,identico,misc_adjective,3
piazza,piazza,location,13
posto,posto,location,21
chiosco,chiosco,building,2
cavalcavia,cavalcavia,building,1
bianco,bianco,color,12
fabbrica,fabbrica,building,1
presente,presente,misc_adjective,5
preciso,preciso,misc_adjective,1
metropoli,metropoli,location,6
provinciale,provinciale,misc_adjective,2
certo,certo,misc_adjective,4
grazia,grazia,shape,2
perduto,perduto,misc_adjective,2
diverso,diverso,misc_adjective,19
incomunicabile,incomunicabile,misc_adjective,1
faccia,faccia,shape,10
luogo,luogo,scene,18
estraneo,estraneo,misc_adjective,4
vano,vano,building,1
migliore,migliore,misc_adjective,1
peggiore,peggiore,misc_adjective,1
rapporto,rapporto,shape,8
centro,centro,location,6
grigio,grigio,color,2
palazzo,palazzo,building,9
sfera,sfera,shape,5
stanza,stanza,building,6
dentro,dentro,location,13
azzurro,azzurro,misc_adjective,3
modello,modello,shape,6
forma,forma,shape,22
epoca,epoca,time,2
modo,modo,shape,13
ideale,ideale,misc_adjective,1
possibile,possibile,misc_adjective,4
peschiera,peschiera,location,1
riservare,riservare,misc_adjective,1
spirale,spirale,shape,2
minareto,minareto,building,1
base,base,location,3
impero,impero,time,4
grande,grande,misc_adjective,18
piccolo,piccolo,misc_adjective,2
reale,reale,misc_adjective,1
presunto,presunto,misc_adjective,1
necessario,necessario,misc_adjective,2
minuto,minuto,time,1
segno,segno,shape,14
strada,strada,location,12
bazar,bazar,building,3
edificio,edificio,building,6
differente,differente,misc_adjective,2
disporre,disporre,misc_adjective,2
sconosciuto,sconosciuto,misc_adjective,2
sguardo,sguardo,shape,18
mezzo,mezzo,location,22
fienile,fienile,building,1
orto,orto,location,1
immondezzaio,immondezzaio,location,3
locanda,locanda,building,2
prigione,prigione,building,2
figura,figura,shape,12
particolare,particolare,misc_adjective,2
piramide,piramide,shape,1
lazzaretto,lazzaretto,building,2
punto,punto,shape,26
momento,momento,time,10
indivisibile,indivisibile,misc_adjective,1
linea,linea,shape,8
rombo,rombo,shape,1
mirabile,mirabile,misc_adjective,1
terreno,terreno,location,6
asciutto,asciutto,misc_adjective,2
altissimo,altissimo,misc_adjective,1
casa,casa,location,28
ballatoio,ballatoio,building,2
balcone,balcone,building,2
pensilo,pensilo,misc_adjective,1
successivo,successivo,misc_adjective,2
primo,primo,misc_adjective,19
indecifrabile,indecifrabile,misc_adjective,1
vita,vita,time,20
sospeso,sospeso,misc_adjective,2
elemento,elemento,location,1
inutile,inutile,misc_adjective,1
infelice,infelice,misc_adjective,2
anno,anno,time,27
nazione,nazione,location,2
equinozio,equinozio,location,2
stiva,stiva,building,1
colmo,colmo,location,1
seme,seme,color,2
moscato,moscato,misc_adjective,1
dorato,dorato,misc_adjective,3
deserto,deserto,location,9
piede,piede,shape,8
giallo,giallo,color,7
ombra,ombra,scene,9
tenda,tenda,building,3
scacciamosco,scacciamosco,misc_adjective,1
menzognere,menzognere,misc_adjective,1
notte,notte,time,12
fuoco,fuoco,location,3
mercato,mercato,building,4
sdraiato,sdraiato,misc_adjective,2
nascosto,nascosto,misc_adjective,7
sveglio,sveglio,misc_adjective,1
giorno,giorno,time,26
nudo,nudo,misc_adjective,3
percorso,percorso,location,5
spazio,spazio,shape,11
muro,muro,building,20
scena,scena,scene,5
lavoro,lavoro,location,4
sognato,sognato,misc_adjective,2
nuovo,nuovo,misc_adjective,33
paese,paese,location,2
porticato,porticato,building,2
cammino,cammino,location,1
inseguita,inseguita,misc_adjective,1
brutto,brutto,shape,3
lontano,lontano,misc_adjective,3
mattino,mattino,time,4
giardino,giardino,location,5
siepe,siepe,building,3
sicuro,sicuro,misc_adjective,4
bello,bello,shape,6
giovane,giovane,misc_adjective,7
dama,dama,shape,3
bagno,bagno,building,5
fondo,fondo,location,5
verde,verde,color,4
cortile,cortile,location,2
sala,sala,building,1
sottoterra,sottoterra,building,3
biblioteca,biblioteca,building,3
alfabetico,alfabetico,misc_adjective,1
scomparso,scomparso,misc_adjective,1
ponte,ponte,building,11
remoto,remoto,misc_adjective,2
gabinetto,gabinetto,location,1
sapiente,sapiente,misc_adjective,1
finestra,finestra,building,20
infantile,infantile,misc_adjective,1
prato,prato,location,5
immagine,immagine,shape,14
amoroso,amoroso,misc_adjective,3
scuderia,scuderia,building,1
maneggio,maneggio,location,1
capezzolo,capezzolo,misc_adjective,1
cimitero,cimitero,location,4
tomba,tomba,location,2
fossa,fossa,shape,1
solo,solo,misc_adjective,16
porto,porto,location,4
pinnacolo,pinnacolo,building,3
rocca,rocca,building,1
inganno,inganno,shape,1
demolita,demolita,misc_adjective,1
soffito,soffito,misc_adjective,1
piano,piano,shape,2
troppopieni,troppopieni,misc_adjective,1
tardivo,tardivo,misc_adjective,1
arrivo,arrivo,location,2
impianto,impianto,building,1
indistruttibile,indistruttibile,misc_adjective,2
raro,raro,misc_adjective,3
snello,snello,misc_adjective,1
vuoto,vuoto,shape,12
schiuma,schiuma,shape,1
corso,corso,location,3
facile,facile,misc_adjective,4
regno,regno,time,2
acquatico,acquatico,misc_adjective,2
fonte,fonte,location,1
moltiplicato,moltiplicato,misc_adjective,2
votivo,votivo,misc_adjective,1
contento,contento,misc_adjective,3
persona,persona,shape,6
nerovestita,nerovestita,misc_adjective,1
inquiete,inquiete,misc_adjective,1
tremante,tremante,misc_adjective,1
tatuato,tatuato,misc_adjective,1
triangolo,triangolo,shape,1
attimo,attimo,time,2
personaggio,personaggio,shape,1
cieco,cieco,misc_adjective,2
cortigiana,cortigiana,misc_adjective,1
cannone,cannone,shape,2
portico,portico,building,3
seduzione,seduzione,shape,1
lussurioso,lussurioso,misc_adjective,1
effimero,effimero,misc_adjective,2
selvatico,selvatico,misc_adjective,1
marino,marino,misc_adjective,1
arte,arte,location,3
incerto,incerto,misc_adjective,3
terzo,terzo,misc_adjective,2
sanguinoso,sanguinoso,misc_adjective,1
tardo,tardo,misc_adjective,1
età,età,time,3
veranda,veranda,building,1
parapetto,parapetto,building,3
balaustra,balaustra,building,2
riflesso,riflesso,misc_adjective,1
capovolto,capovolto,misc_adjective,1
scanalatura,scanalatura,shape,2
interno,interno,location,4
prospettiva,prospettiva,scene,3
speculare,speculare,misc_adjective,1
speciale,speciale,misc_adjective,2
istante,istante,time,3
grumoso,grumoso,misc_adjective,1
limpido,limpido,misc_adjective,2
freddo,freddo,misc_adjective,1
gemello,gemello,misc_adjective,2
simmetrico,simmetrico,misc_adjective,2
inverso,inverso,misc_adjective,2
ricco,ricco,misc_adjective,1
biforo,biforo,misc_adjective,1
grata,grata,building,1
patio,patio,building,1
parete,parete,building,2
bottega,bottega,location,4
odoroso,odoroso,misc_adjective,1
pensili,pensili,misc_adjective,1
illuminato,illuminato,misc_adjective,1
dente,dente,building,4
mano,mano,shape,8
turno,turno,time,3
libero,libero,misc_adjective,2
sopraffino,sopraffino,misc_adjective,1
sobborgo,sobborgo,location,4
ripetuto,ripetuto,misc_adjective,1
ripido,ripido,misc_adjective,1
girevole,girevole,misc_adjective,1
testa,testa,location,8
circo,circo,building,1
marmo,marmo,shape,5
opificio,opificio,building,1
mattatoio,mattatoio,building,2
scuola,scuola,time,2
fisso,fisso,misc_adjective,1
provvisorio,provvisorio,misc_adjective,2
vago,vago,misc_adjective,2
pilone,pilone,building,1
ministero,ministero,building,1
monumento,monumento,location,1
raffineria,raffineria,building,1
ospedale,ospedale,building,1
itinerario,itinerario,location,3
navicella,navicella,building,2
mese,mese,time,1
intero,intero,misc_adjective,3
territorio,territorio,location,3
capitale,capitale,location,1
eguale,eguale,misc_adjective,1
dissimile,dissimile,misc_adjective,1
vasto,vasto,misc_adjective,3
ondulato,ondulato,misc_adjective,2
mestiere,mestiere,location,4
vicino,vicino,misc_adjective,2
esposizione,esposizione,scene,1
passaggio,passaggio,location,5
molteplice,molteplice,misc_adjective,1
cambiato,cambiato,misc_adjective,1
volubile,volubile,misc_adjective,1
sacro,sacro,misc_adjective,1
ambiguo,ambiguo,misc_adjective,1
librato,librato,misc_adjective,1
davanzale,davanzale,misc_adjective,1
raso,raso,misc_adjective,1
aspetto,aspetto,shape,2
vero,vero,misc_adjective,15
tratto,tratto,time,3
grondaia,grondaia,building,4
cantina,cantina,building,2
proverbiale,proverbiale,misc_adjective,2
difetto,difetto,shape,3
puntiglioso,puntiglioso,misc_adjective,1
antichi,antichi,misc_adjective,1
veritiere,veritiere,misc_adjective,1
durevole,durevole,misc_adjective,1
eccentrico,eccentrico,misc_adjective,1
usuale,usuale,misc_adjective,1
solido,solido,shape,2
compatto,compatto,misc_adjective,5
sparso,sparso,misc_adjective,1
sbiadito,sbiadito,misc_adjective,1
scorcio,scorcio,scene,1
aprirtiso,aprirtiso,misc_adjective,1
davanti,davanti,location,3
inconfondibile,inconfondibile,misc_adjective,2
magnifico,magnifico,misc_adjective,1
distinto,distinto,misc_adjective,1
precipizio,precipizio,shape,1
scoscese,scoscese,misc_adjective,1
cresta,cresta,location,1
passerella,passerella,building,1
attento,attento,misc_adjective,1
intervallo,intervallo,shape,2
metro,metro,shape,1
basso,basso,location,11
corda,corda,shape,2
terrazzo,terrazzo,building,1
teleferica,teleferica,misc_adjective,1
pianta,pianta,location,2
abisso,abisso,shape,1
costa,costa,scene,3
simile,simile,misc_adjective,1
complicato,complicato,misc_adjective,2
