Id,Label,Synset,Weight
città,città,location,38
alto,alto,location,1
basso,basso,location,2
tortuoso,tortuoso,misc_adjective,1
catapecchia,catapecchia,building,1
vero,vero,misc_adjective,6
forma,forma,shape,5
primo,primo,misc_adjective,2
vista,vista,scene,1
figura,figura,shape,1
simmetrico,simmetrico,misc_adjective,1
linea,linea,shape,2
retto,retto,misc_adjective,1
colore,colore,shape,1
splendente,splendente,misc_adjective,1
luogo,luogo,scene,6
secondo,secondo,time,3
rapporto,rapporto,shape,2
macchia,macchia,shape,2
prospettiva,prospettiva,scene,1
parziale,parziale,misc_adjective,1
punto,punto,shape,4
schema,schema,shape,1
geometrico,geometrico,misc_adjective,1
minimo,minimo,misc_adjective,1
facile,facile,misc_adjective,1
strada,strada,location,1
cremisi,cremisi,color,1
indaco,indaco,color,1
lungo,lungo,misc_adjective,4
recinto,recinto,shape,1
color,color,misc_adjective,1
porpora,porpora,color,1
arrivo,arrivo,location,1
confrontare,confrontare,misc_adjective,1
immobile,immobile,misc_adjective,2
immagine,immagine,shape,2
vita,vita,time,3
svolta,svolta,shape,1
misterioso,misterioso,misc_adjective,1
diverso,diverso,misc_adjective,2
stellato,stellato,misc_adjective,2
orbita,orbita,location,2
approssimativo,approssimativo,misc_adjective,1
umano,umano,misc_adjective,3
tempo,tempo,time,2
certo,certo,misc_adjective,1
armonico,armonico,misc_adjective,1
divina,divina,misc_adjective,1
stesso,stesso,misc_adjective,4
modo,modo,shape,3
opposto,opposto,misc_adjective,1
casa,casa,location,2
buio,buio,time,1
altro,altro,misc_adjective,6
elevato,elevato,misc_adjective,1
terreno,terreno,location,1
modello,modello,shape,1
celeste,celeste,color,5
solo,solo,misc_adjective,4
oro,oro,color,1
massiccio,massiccio,misc_adjective,1
porta,porta,location,2
diamante,diamante,location,1
studio,studio,location,1
laborioso,laborioso,misc_adjective,1
massimo,massimo,misc_adjective,1
nobile,nobile,misc_adjective,1
raro,raro,misc_adjective,1
effimero,effimero,misc_adjective,1
composita,composita,misc_adjective,1
sottoterra,sottoterra,building,1
spregevole,spregevole,misc_adjective,1
costante,costante,misc_adjective,1
posto,posto,location,2
infera,infera,misc_adjective,1
rovesciato,rovesciato,misc_adjective,1
crosta,crosta,location,1
unto,unto,misc_adjective,1
resco,resco,misc_adjective,1
vecchio,vecchio,misc_adjective,1
oscuro,oscuro,misc_adjective,1
duttile,duttile,misc_adjective,1
denso,denso,misc_adjective,1
percorso,percorso,location,1
viscere,viscere,location,1
nero,nero,color,2
buco,buco,shape,2
ultimo,ultimo,misc_adjective,2
fondo,fondo,location,1
sotterraneo,sotterraneo,building,1
pigro,pigro,misc_adjective,1
bolo,bolo,shape,1
acciambellate,acciambellate,misc_adjective,1
laggiú,laggiú,misc_adjective,1
edificio,edificio,building,2
fecale,fecale,misc_adjective,1
guglia,guglia,building,1
tortile,tortile,misc_adjective,1
infernale,infernale,misc_adjective,1
inferno,inferno,location,1
profondo,profondo,location,1
autorevole,autorevole,misc_adjective,1
caro,caro,misc_adjective,1
mercato,mercato,building,1
funzionante,funzionante,misc_adjective,1
pavesato,pavesato,misc_adjective,1
virtú,virtú,misc_adjective,1
cupo,cupo,misc_adjective,1
vuoto,vuoto,shape,1
momento,momento,time,1
generoso,generoso,misc_adjective,1
zenit,zenit,location,1
buttato,buttato,misc_adjective,1
sventolante,sventolante,misc_adjective,1
sfondato,sfondato,misc_adjective,1
