Id,Label,Synset,Weight
città,città,location,20
casa,casa,location,1
veranda,veranda,building,1
alto,alto,location,1
parapetto,parapetto,building,2
balaustra,balaustra,building,1
vedere,vedere,scene,2
riflesso,riflesso,misc_adjective,1
capovolto,capovolto,misc_adjective,1
altro,altro,misc_adjective,2
modo,modo,shape,1
punto,punto,shape,6
scanalatura,scanalatura,shape,1
interno,interno,location,1
stanza,stanza,building,1
prospettiva,prospettiva,scene,2
immagine,immagine,shape,4
speculare,speculare,misc_adjective,1
speciale,speciale,misc_adjective,1
solo,solo,misc_adjective,1
istante,istante,time,1
nudo,nudo,misc_adjective,1
vena,vena,location,1
nero,nero,color,2
grumoso,grumoso,misc_adjective,1
limpido,limpido,misc_adjective,1
freddo,freddo,misc_adjective,1
ora,ora,time,3
gemello,gemello,misc_adjective,1
uguale,uguale,misc_adjective,1
simmetrico,simmetrico,misc_adjective,1
inverso,inverso,misc_adjective,2
forma,forma,shape,2
librato,librato,misc_adjective,1
davanzale,davanzale,misc_adjective,1
sguardo,sguardo,shape,4
raso,raso,misc_adjective,1
terra,terra,location,3
aspetto,aspetto,shape,1
vero,vero,misc_adjective,1
giorno,giorno,time,6
stesso,stesso,misc_adjective,1
tratto,tratto,time,2
strada,strada,location,1
mattino,mattino,time,1
prima,prima,building,2
muro,muro,building,3
grondaia,grondaia,building,1
raro,raro,misc_adjective,1
cantina,cantina,building,1
sottile,sottile,misc_adjective,1
grande,grande,misc_adjective,1
occorrente,occorrente,misc_adjective,1
lungo,lungo,misc_adjective,1
giornata,giornata,time,1
luminoso,luminoso,misc_adjective,1
ombra,ombra,scene,3
traforato,traforato,misc_adjective,2
angoloso,angoloso,misc_adjective,1
formica,formica,building,2
affascinato,affascinato,misc_adjective,1
ponte,ponte,building,3
finestra,finestra,building,2
moresco,moresco,misc_adjective,1
lanceolato,lanceolato,misc_adjective,1
sesto,sesto,misc_adjective,1
lunetta,lunetta,building,1
rosone,rosone,building,2
bianco,bianco,color,2
blu,blu,color,1
vista,vista,scene,2
fortezza,fortezza,building,1
statua,statua,shape,2
cupola,cupola,location,2
guglia,guglia,building,1
linea,linea,shape,1
zona,zona,location,2
sole,sole,location,2
porta,porta,location,2
cunetta,cunetta,shape,1
piede,piede,shape,1
invisibile,invisibile,misc_adjective,1
spazio,spazio,shape,1
percorso,percorso,location,1
vuoto,vuoto,shape,1
breve,breve,misc_adjective,1
tenda,tenda,building,1
sportello,sportello,building,1
passo,passo,location,2
fuori,fuori,location,1
dentro,dentro,location,1
sepolto,sepolto,misc_adjective,1
portico,portico,building,2
gaio,gaio,misc_adjective,1
anno,anno,time,1
largo,largo,misc_adjective,1
ricamato,ricamato,misc_adjective,1
luce,luce,scene,2
cappero,cappero,misc_adjective,1
pagina,pagina,location,1
fronte,fronte,location,1
trasparente,trasparente,misc_adjective,1
colonna,colonna,building,1
incrostato,incrostato,misc_adjective,1
villa,villa,building,1
acquario,acquario,building,1
argentare,argentare,misc_adjective,1
primo,primo,misc_adjective,1
semicerchio,semicerchio,shape,1
faccia,faccia,shape,1
nascosta,nascosta,misc_adjective,1
distesa,distesa,shape,1
irte,irte,misc_adjective,1
ciechi,ciechi,misc_adjective,1
stinto,stinto,misc_adjective,1
telaio,telaio,building,1
spagliato,spagliato,misc_adjective,1
corda,corda,shape,1
buono,buono,misc_adjective,1
marcio,marcio,misc_adjective,1
continuo,continuo,misc_adjective,1
figura,figura,shape,1
